논문 제목, 링크
미래 사회에서 메타버스 교육의 방향, http://www.riss.kr/link?id=A108016290
사형제도는 폐지되어야 하는가?, http://www.riss.kr/link?id=A60251440
헤어질 결심, http://www.riss.kr/link?id=A108202406
스트레스 수준이 대학생들의 학업 성취도에 미치는 영향, http://www.riss.kr/link?id=A82694597
노키즈존 확산, 어떻게 볼 것인가?, http://www.riss.kr/link?id=A102257714
부산시 반송동 정책이주지 주택 변화 연구, http://www.riss.kr/link?id=A108109431
대리모 산업의 윤리적 문제와 해결방안, http://www.riss.kr/link?id=A100401069
고교학점제의 쟁점과 과제 분석, http://www.riss.kr/link?id=A107939046
촉법소년 상한(형사미성년자) 연령 하향에 대한 비판적 고찰, http://www.riss.kr/link?id=A108417491
챗봇 기반 인공지능 교육 프로그램 개발과 적용, http://www.riss.kr/link?id=A107319070
사상체질과 MBTI성격유형검사를 통한 대학생 건강염려증의 상관관계연구, http://www.riss.kr/link?id=A107278397
한국 인공지능 교육의 방향, http://www.riss.kr/link?id=A107319062
최저임금제도 개선방안에 관한 연구, http://www.riss.kr/link?id=A101866802
영화 속에서 나타난 인공지능의 인간화와 인간지배 현상 연구 - 신체가 있는 인공지능과 하이퍼 인공지능을 중심으로, http://www.riss.kr/link?id=A108140448
[토론문 1] 저출산·고령화와 인구정책, http://www.riss.kr/link?id=A104892222
그리스-로마 신화의 교훈, http://www.riss.kr/link?id=A107552565
인지발달에 대한 삐아제 이론과 비고츠키 이론의 비교, http://www.riss.kr/link?id=A101876695
자연 상태에서 일어나는 음펨바 효과에 대한 연구, http://www.riss.kr/link?id=A106118568
신노년세대를 위한 노인복지주택에 관한 연구, http://www.riss.kr/link?id=A106620521
고교학점제 도입 추진 정책에 대한 비판적 검토, http://www.riss.kr/link?id=A105396133
디지털 정보활용능력이 노인의 삶의 만족도에 미치는 영향에 관한 연구, http://www.riss.kr/link?id=A108417224
간호관리자의 변혁적 리더십과 서번트 리더십이 신규간호사의 조직사회화에 미치는 영향: 집단효능감의 매개효과, http://www.riss.kr/link?id=A108418416
미혼 성인남녀의 저출산 정책 인식에 관한 연구, http://www.riss.kr/link?id=A105506917
국내외 가짜뉴스(Fake News)에 대한 뉴스 공정성 연구논의 탐색, http://www.riss.kr/link?id=A105591633
The Impact of Employees' Growth Mindset on Organizational Citizenship Behavior in Small and Medium-sized Enterprises (SMEs): Focusing on the Mediating Effect of Authentic Leadership, http://www.riss.kr/link?id=A108452231
Development of Ill-Structured Problems for Elementary Learners to Learn by Computer-Based Modeling Tools, http://www.riss.kr/link?id=A107653348
남자간호사가 인지한 역할갈등, 수간호사 수퍼리더십, 간호조직문화가 조직몰입에 미치는 영향, http://www.riss.kr/link?id=A108418389
대상관계이론의 고찰과 상담적 적용, http://www.riss.kr/link?id=A60264863
음악치료 소개와 음악이란 매개체가 갖는 특별한 우수성, http://www.riss.kr/link?id=A30057540
MZ 세대의 개인주의 문화, 어떻게 볼 것인가?, http://www.riss.kr/link?id=A108447810
대인관계 증진집단상담 프로그램이 자기지각과 대인관계에 미치는 효과검증, http://www.riss.kr/link?id=A75029457
MZ세대의 모바일 AR 가상 피팅 서비스에 대한 경험적 가치가 감정반응, 브랜드 이미지 및 행동의도에 미치는 영향, http://www.riss.kr/link?id=A108418506
자동창작시대의 예술 작품 -인공지능은 예술 창작의 주체가 될 수 있는가?, http://www.riss.kr/link?id=A106981421
인공지능 리터러시 기반의 설명가능한 인공지능 교육 프로그램의 효과, http://www.riss.kr/link?id=A108164169
마을교육공동체 활성화 요인 관련 국내 연구 동향 분석, http://www.riss.kr/link?id=A108404159
바이오 기술을 통한 의약품 산업의 혁신, http://www.riss.kr/link?id=A106070464
수술실 간호사의 팀워크와 직무소진이 환자안전관리활동에 미치는 영향, http://www.riss.kr/link?id=A108418411
세계 주요국의 유보통합 동향 및 시사점 분석, http://www.riss.kr/link?id=A107558011
행동주의 상담과 인본주의 상담의 특성 비교, http://www.riss.kr/link?id=A3029310
초중등 인공지능 교육을 위한 프레임워크 기초 연구, http://www.riss.kr/link?id=A107309284
스마트시티와 도시전환_공공 공간으로서의 스마트시티, http://www.riss.kr/link?id=A108079381
MZ 세대 번아웃에 미치는 디지털시 치유 효과에 관한 연구, http://www.riss.kr/link?id=A108261795
