논문 제목, 링크
미래 사회에서 메타버스 교육의 방향, http://www.riss.kr/link?id=A108016290
사형제도는 폐지되어야 하는가?, http://www.riss.kr/link?id=A60251440
챗GPT 충격파… 성큼 다가온 인공지능, http://www.riss.kr/link?id=A108508273
스트레스 수준이 대학생들의 학업 성취도에 미치는 영향, http://www.riss.kr/link?id=A82694597
촉법소년 상한(형사미성년자) 연령 하향에 대한 비판적 고찰, http://www.riss.kr/link?id=A108417491
챗GPT에 빼앗긴 밥그릇, http://www.riss.kr/link?id=A108525475
대리모 산업의 윤리적 문제와 해결방안, http://www.riss.kr/link?id=A100401069
노키즈존 확산, 어떻게 볼 것인가?, http://www.riss.kr/link?id=A102257714
[토론문 1] 저출산·고령화와 인구정책, http://www.riss.kr/link?id=A104892222
국내외 가짜뉴스(Fake News)에 대한 뉴스 공정성 연구논의 탐색, http://www.riss.kr/link?id=A105591633
구글 시대 저무나? 인공지능 ‘챗GPT’ 돌풍, http://www.riss.kr/link?id=A108508332
헤어질 결심, http://www.riss.kr/link?id=A108202406
나이팅게일과 업적, http://www.riss.kr/link?id=A18742338
챗봇 기반 인공지능 교육 프로그램 개발과 적용, http://www.riss.kr/link?id=A107319070
인지발달에 대한 삐아제 이론과 비고츠키 이론의 비교, http://www.riss.kr/link?id=A101876695
사회복지에서의 인권에 관한 일 고찰, http://www.riss.kr/link?id=A102281750
고교학점제의 쟁점과 과제 분석, http://www.riss.kr/link?id=A107939046
최저임금제도 개선방안에 관한 연구, http://www.riss.kr/link?id=A101866802
영화 속에서 나타난 인공지능의 인간화와 인간지배 현상 연구 - 신체가 있는 인공지능과 하이퍼 인공지능을 중심으로, http://www.riss.kr/link?id=A108140448
사상체질과 MBTI성격유형검사를 통한 대학생 건강염려증의 상관관계연구, http://www.riss.kr/link?id=A107278397
행동주의 상담과 인본주의 상담의 특성 비교, http://www.riss.kr/link?id=A3029310
촉법소년 상한연령 하향 인식에의 영향요인 - 소년사법 실무전문가들을 중심으로 -, http://www.riss.kr/link?id=A108417486
한국 인공지능 교육의 방향, http://www.riss.kr/link?id=A107319062
다이어트, 당신은 건강합니까?, http://www.riss.kr/link?id=A76262114
고교학점제 도입 추진 정책에 대한 비판적 검토, http://www.riss.kr/link?id=A105396133
예비 초등 교사들의 역사 인물 프로젝트-이순신을 중심으로-, http://www.riss.kr/link?id=A108004327
학술 2 - 유기동물 안락사의 윤리적 고찰과 사례를 통한 발전적 해결방안, http://www.riss.kr/link?id=A101133527
나이팅게일과 간호, http://www.riss.kr/link?id=A18742337
MZ세대의 MBTI에 따른 여가활동 선택과 여가태도, http://www.riss.kr/link?id=A108417008
The Impact of Employees' Growth Mindset on Organizational Citizenship Behavior in Small and Medium-sized Enterprises (SMEs): Focusing on the Mediating Effect of Authentic Leadership, http://www.riss.kr/link?id=A108452231
음악치료 소개와 음악이란 매개체가 갖는 특별한 우수성, http://www.riss.kr/link?id=A30057540
<바람계곡의 나우시카>에 나타난 캐릭터 성격구조의 이해, http://www.riss.kr/link?id=A103514563
미혼 성인남녀의 저출산 정책 인식에 관한 연구, http://www.riss.kr/link?id=A105506917
그리스-로마 신화의 교훈, http://www.riss.kr/link?id=A107552565
프로이트의 정신분석이론과 비판, http://www.riss.kr/link?id=A103095861
자동창작시대의 예술 작품 -인공지능은 예술 창작의 주체가 될 수 있는가?, http://www.riss.kr/link?id=A106981421
우리 사회의 능력주의는 제대로 작동하고 있는가?, http://www.riss.kr/link?id=A101887357
인공지능교육에 대한 초등교사의 인식 조사, http://www.riss.kr/link?id=A107366672
애착유형, 스트레스 대처방식과 대인불안의 관계, http://www.riss.kr/link?id=A82690250
여대생의 다이어트 행동과 심리적 변인들과의 관계, http://www.riss.kr/link?id=A82690210
인공지능기반 스마트팜 핵심 기술 연구 동향, http://www.riss.kr/link?id=A106028211
인공지능을 활용한 예술융합교육이 초등학생 창의성에 미치는 효과, http://www.riss.kr/link?id=A108012413
성별에 따른 인슐린 저항성과 대사증후군과의 관련성, http://www.riss.kr/link?id=A108004351
인공지능 리터러시 기반의 설명가능한 인공지능 교육 프로그램의 효과, http://www.riss.kr/link?id=A108164169
망가진 머리: 인공지능과 윤리 And I believed I was loved, I believed I loved Who did this to us?, http://www.riss.kr/link?id=A106419000
