논문 제목, 링크
미래 사회에서 메타버스 교육의 방향, http://www.riss.kr/link?id=A108016290
사형제도는 폐지되어야 하는가?, http://www.riss.kr/link?id=A60251440
촉법소년 상한(형사미성년자) 연령 하향에 대한 비판적 고찰, http://www.riss.kr/link?id=A108417491
스트레스 수준이 대학생들의 학업 성취도에 미치는 영향, http://www.riss.kr/link?id=A82694597
노키즈존 확산, 어떻게 볼 것인가?, http://www.riss.kr/link?id=A102257714
챗GPT에 빼앗긴 밥그릇, http://www.riss.kr/link?id=A108525475
챗GPT 충격파… 성큼 다가온 인공지능, http://www.riss.kr/link?id=A108508273
국내외 가짜뉴스(Fake News)에 대한 뉴스 공정성 연구논의 탐색, http://www.riss.kr/link?id=A105591633
대리모 산업의 윤리적 문제와 해결방안, http://www.riss.kr/link?id=A100401069
촉법소년 상한연령 하향 인식에의 영향요인 - 소년사법 실무전문가들을 중심으로 -, http://www.riss.kr/link?id=A108417486
[토론문 1] 저출산·고령화와 인구정책, http://www.riss.kr/link?id=A104892222
MZ 세대의 개인주의 문화, 어떻게 볼 것인가?, http://www.riss.kr/link?id=A108447810
고교학점제의 쟁점과 과제 분석, http://www.riss.kr/link?id=A107939046
ChatGPT시대 인공지능교육정책의 문제점 고찰, http://www.riss.kr/link?id=A108585692
다이어트, 당신은 건강합니까?, http://www.riss.kr/link?id=A76262114
사상체질과 MBTI성격유형검사를 통한 대학생 건강염려증의 상관관계연구, http://www.riss.kr/link?id=A107278397
일본의 후쿠시마 오염수 해양 방출 계획 저지를 위한 한국의 대응 전략: 방사성물질로부터 영해 수호를 위한 정책적 제언, http://www.riss.kr/link?id=A107771821
영화 속에서 나타난 인공지능의 인간화와 인간지배 현상 연구 - 신체가 있는 인공지능과 하이퍼 인공지능을 중심으로, http://www.riss.kr/link?id=A108140448
최저임금제도 개선방안에 관한 연구, http://www.riss.kr/link?id=A101866802
[CLICK] 음식점,카페 "노키즈존" 확산, http://www.riss.kr/link?id=A101942791
헤어질 결심, http://www.riss.kr/link?id=A108202406
구글 시대 저무나? 인공지능 ‘챗GPT’ 돌풍, http://www.riss.kr/link?id=A108508332
미국의 청소년 마약류 사용 대응 정책 고찰을 통한 국내 정책의 시사점, http://www.riss.kr/link?id=A108418256
고교학점제 도입 추진 정책에 대한 비판적 검토, http://www.riss.kr/link?id=A105396133
인지발달에 대한 삐아제 이론과 비고츠키 이론의 비교, http://www.riss.kr/link?id=A101876695
인공지능 관련 규범 수립의 국내외 현황과 과제, http://www.riss.kr/link?id=A108551487
자동창작시대의 예술 작품 -인공지능은 예술 창작의 주체가 될 수 있는가?, http://www.riss.kr/link?id=A106981421
음악치료 소개와 음악이란 매개체가 갖는 특별한 우수성, http://www.riss.kr/link?id=A30057540
챗봇 기반 인공지능 교육 프로그램 개발과 적용, http://www.riss.kr/link?id=A107319070
MZ세대의 MBTI에 따른 여가활동 선택과 여가태도, http://www.riss.kr/link?id=A108417008
펜타닐에 대한 중독경험자와 전문가의 인식 차이, http://www.riss.kr/link?id=A108418252
세대별 소비자행복: MZ세대를 중심으로, http://www.riss.kr/link?id=A108555556
미혼 성인남녀의 저출산 정책 인식에 관한 연구, http://www.riss.kr/link?id=A105506917
존엄사의 헌법적 보장-죽음에 대한 자기결정권의 구성요건 설정을 중심으로-, http://www.riss.kr/link?id=A108417382
우리 사회의 능력주의는 제대로 작동하고 있는가?, http://www.riss.kr/link?id=A101887357
한국 인공지능 교육의 방향, http://www.riss.kr/link?id=A107319062
중학생의 신조어 사용 인식 실태 및 현황, http://www.riss.kr/link?id=A100494974
가족과 건강의 상호관련성에 관한 문헌고찰연구, http://www.riss.kr/link?id=A99758261
인공지능 리터러시 기반의 설명가능한 인공지능 교육 프로그램의 효과, http://www.riss.kr/link?id=A108164169
저출산 정책, http://www.riss.kr/link?id=A102750411
마약류 중독예방사업의 활성화 방안, http://www.riss.kr/link?id=A108418255
배양육이 축산을 대체할 수 있을까?, http://www.riss.kr/link?id=A106915515
[ISSUE] 주4일제, 무조건 찬성 vs 시기상조, http://www.riss.kr/link?id=A108013644
간호관리자의 변혁적 리더십과 서번트 리더십이 신규간호사의 조직사회화에 미치는 영향: 집단효능감의 매개 효과, http://www.riss.kr/link?id=A108418416
